1	9	17	15
2	21	74	112
3	45	239	415
4	93	646	1286
5	189	1639	3520
6	381	3956	9210
7	765	9317	23182
8	1533	21370	56472
9	3069	48065	133501
10	6141	106880	308732
11	12285	235812	707478
12	24573	513928	1597427
13	49149	1113934	3566231
14	98301	2400253	7893219
15	196605	5142717	17323476
16	393213	10971970	37749590
17	786429	23324656	81858925
18	1572861	49381200	176589421
19	3145725	104275599	379245750
20	6291453	219510134	811236624
21	12582909	461033982	1728626487
22	25165821	965904045	3671090562
23	50331645	2019905702	7772501699
24	100663293	4215253400	16410928400
25	201326589	8782369439	34566246273
